宸纶,1.帝王的诏书﹑制令。
假墇,"1.见""假葬""。"
假赈,1.赈济。
假之,1.假若。
假职,1.权宜所授之职。
假植,1.苗木栽种或出圃前的一种临时保护性措施。掘取的苗木如不立即定值，则暂时将其集中成束或排壅土栽植在无风害﹑冻害和积水的小块土地上，以免失水枯萎，影响成活。
假钟,1.即一口钟。指古代一种无袖不开衩的长外衣，以形如钟覆，故名。
假助,1.借助。
假妆,"1.假装，故意表现出一种动作或情况来掩饰真相。 
2.假扮。"
假装,故意做出某种动作或姿态来掩饰真相他继续干着手里的活儿，～没听见ㄧ～糊涂。
假搃,1.假造，搃造。
假纵,1.宽纵。
假卒,1.休假的士兵。
假佐,1.汉代诸府的文书官。
假作,1.假装，装作。
假座,借用（某个场所）～俱乐部举办联谊会。
嫁出门的女，泼出门的水,"1.见""嫁出去的女，泼出去的水""。"
嫁出去的女，泼出去的水,1.谚语。旧谓女子出嫁后一切归属夫家，不再与娘家有任何干系。
嫁非,1.犹委过。
嫁狗随狗,"1.同""嫁鸡随鸡，嫁狗随狗""。"
嫁狗逐狗,"1.见""嫁狗随狗""。"
嫁鸡随鸡，嫁狗随狗,1.比喻女子出嫁后，不管丈夫如何，都要随从一辈子。
嫁鸡逐鸡,"1.同""嫁鸡随鸡，嫁狗随狗""。"
嫁奁,1.陪嫁的财物。
嫁名,1.假借名义。
嫁母,1.父亡母再嫁者之称。宋朱熹《家礼．丧礼齐衰杖期》有子为嫁母服制。
嫁取,"1.见""嫁娶""。"
嫁娶,"1.亦作""嫁取""。 
2.谓嫁女与娶妇。 
3.泛指男女成婚。"
嫁犬逐犬,1.谓出嫁女子唯夫是从。
嫁殇,"1.谓男女夭亡后，生者为之议婚，嫁女而合葬之。 
2.指为受聘后夭亡的女子行嫁礼和合葬。"
嫁送,1.谓嫁女与送终。
嫁衣,1.出嫁时的衣裳。
嫁衣裳,1.出嫁时的衣裳。
嫁怨,1.转移怨恨于人。
嫁枣,1.用斧背在枣树基部或分枝处环周捶打，使枝干韧皮受损，阻止其地上部分养分向下输送，以促进其开花，提高座果率。
嫁主,1.谓嫁女之户主。
嫁妆,女子出嫁时，从娘家带到丈夫家去的衣被、家具及其他用品。也作嫁装。
嫁装,"1.亦作""嫁妆""。亦作""嫁妆""。 
2.陪嫁的财物。"
嫁赀,"1.见""嫁资""。"
嫁资,"1.亦作""嫁赀""。 
2.女子出嫁时，娘家陪嫁的财物。"
嫁子,"1.嫁女儿。 
2.称女儿。"
嫁罪,1.转移罪责。
稼器,1.农具。
稼啬,1.犹稼穑。
稼穑艰难,"1.犹言农事劳苦。语出《书．无逸》""先知稼穑之艰难﹐乃逸。"""
稼事,1.农田耕种的事务。
稼轩长短句,一作《稼轩词》。词集。南宋辛弃疾(号稼轩)作。十二卷。今人邓广铭有《稼轩词编年笺注》，收词六百二十六首，最为详备。
稼政,1.谓修封疆﹑开沟洫﹑教民种植五谷等事。
戋帛,"1.《易．贲》""贲于丘园，束帛戋戋。""孔颖达疏""唯用束帛招聘丘园，以俭约待贤。""后因以""戋帛""指敦聘贤者的礼物。"
戋戋琐琐,1.细小繁琐。
奸暴,"1.亦作""奸暴""。 
2.奸恶横暴。 
3.指奸恶横暴的人或势力。"
奸本,1.谓诈伪邪恶的根源。
奸敝,"1.亦作""奸敝""。 
2.见""奸弊""。"
奸詖,1.谓进谗。
奸弊,"1.亦作""奸弊""。亦作""奸敝""。 
2.诡诈舞弊;欺诈蒙骗。"
奸便,"1.亦作""奸便""。 
2.奸计。"
奸不厮瞒，俏不厮欺,"1.亦作""奸不厮瞒，俏不厮欺""。 
2.见""奸不厮欺，俏不厮瞒""。"
奸不厮欺，俏不厮瞒,"1.亦作""奸不厮欺，俏不厮瞒""。亦作""奸不厮瞒，俏不厮欺""。 
2.犹言真人面前不说假话。"
奸谗,"1.亦作""奸谗""。 
2.谗言。 
3.进谗言的奸臣。"
奸谄,1.奸邪谄媚。
奸猖,1.指奸邪凶狂的人。
奸臣,指残害忠良或阴谋篡夺帝位的大臣。
奸胆,1.犹奸心。
奸党,"1.亦作""奸党""。 
2.坏人集团;坏人的同伙。"
奸盗,"1.亦作""姧盗""。亦作""奸盗""。 
2.指为非作歹﹑劫盗财物。 
3.奸人盗贼。"
奸道,1.奸邪不正之道。
奸刁,"1.亦作""奸刁""。 
2.狡诈。"
奸谍,1.犹间谍。为敌方刺探情况的人。
奸毒,"1.亦作""奸毒""。 
2.谓奸险害人的行为。 
3.奸诈狠毒。"
奸蠹,"1.亦作""奸衏""。亦作""奸蠹""。亦作""姧蠹""。 
2.指有害国家社会的不法行为。 
3.行为不法的坏人。"
奸端,1.诈伪不轨的事端。
奸惰,"1.亦作""奸惰""。 
2.谓居官奸私怠惰。"
奸讹,"1.亦作""奸讹""。 
2.诡诈虚假。 
3.指奸诈的人和事。"
奸恶,"1.亦作""奸恶""。 
2.邪恶。 
3.指邪恶的人或事。"
奸法,"1.亦作""奸法""。 
2.谓因法作奸。"
奸犯,1.侵犯。
奸非,"1.邪恶不法。 
2.特指男女通奸罪。"
奸锋,1.奸人的气焰。
奸夫,"1.亦作""奸夫""。 
2.邪恶谲诈的人。 
3.指通奸的男子。"
奸伏,1.隐伏未露的坏人坏事。
奸富,1.以非法手段致富。
奸故,1.犹奸诈。故，巧诈。
奸怪,1.奸邪不正。
奸官,1.奸邪不法的官吏。
奸轨,"1.见""奸宄""。"
奸诡,"1.亦作""奸诡""。 
2.伪诈。"
奸豪,"1.亦作""姧豪""。亦作""奸豪""。 
2.指地方上有势力而横行不法之人。"
奸滑,同‘奸猾 ’。
奸回,"1.亦作""姧回""。亦作""奸回""。 
2.奸恶邪僻。 
3.指奸恶邪僻的人或事。"
奸秽,"1.亦作""姧秽""。 
2.指邪恶污秽的行为。 
3.指邪恶污秽的人。"
奸计,奸诈的计谋中了～。
奸奸,1.以奸邪的手段对付奸邪。
奸渐,1.犹奸萌。渐，事物的开端。
奸狡,"1.亦作""奸狡""。 
2.奸诈狡猾。"
奸矫,"1.奸邪矫诈。 
2.指奸邪矫诈的人。"
奸桀,"1.奸恶的魁首。 
2.指诡诈而有才智。"
奸咎,1.犹奸恶。
奸谲,"1.亦作""奸谲""。 
2.诡诈。"
奸刻,"1.亦作""奸刻""。 
2.谓奸邪刻毒。"
奸狯,"1.亦作""奸狯""。 
2.狡诈;奇巧。"
奸兰,1.犯禁走私。
奸吏,1.枉法营私的官吏。
奸利,"1.亦作""奸利""。 
2.指非法谋取的利益。"
奸路,1.指奸人仕进的途径。
奸虑,1.犹奸心，歹心。
奸乱,"1.亦作""奸乱""。 
2.谓心术不正，行迹不轨。 
3.淫乱。"
奸媚,1.诡诈谄媚。
奸门,"1.亦作""奸门""。 
2.不正的门路。"
奸萌,"1.亦作""奸萌""。 
2.奸邪的苗子。 
3.图谋作奸违法的人。萌，通""氓""，民。"
奸民,"1.亦作""奸民""。亦作""姧民""。 
2.乱法犯禁﹑不务正业的人。"
奸命,"1.亦作""奸命""。 
2.违命。"
奸谋,"1.亦作""奸谋""。 
2.奸邪的计谋。"
奸逆,1.指叛逆不忠的人。
奸匿,"1.见""奸慝""。"
奸孽,"1.亦作""奸孽""。 
2.见""奸孽""。"
奸朋,1.犹奸党。
奸骗,"1.亦作""奸骗""。 
2.犹奸污。 
3.指诈骗。"
奸欺,"1.亦作""奸欺""。 
2.虚伪欺诈。"
奸旗鼓,1.谓违犯军令。古代军队以旗鼓发号令，故以为喻。
奸钱,"1.亦作""奸钱""。 
2.私铸的钱币。"
奸强,"1.亦作""奸强""。亦作""奸强""。 
2.邪恶豪强的人。"
急桨,1.疾速划桨。亦指快行舟。
急脚,1.急行传送书信或探送情报的人。
急脚递,"1.见""急递""。"
急脚鬼,1.比喻急性子的人。
急脚信,1.派人急行传递的书信。
急脚子,"1.见""急脚""。"
急节,"1.急速的乐曲节奏。 
2.指声调急促。 
3.谓急速迁移。 
4.指急速而过的时节。 
5.指急变的时令。 6.犹匆促;急忙。"
急捷,1.利落;迅速。
急进,急于改革和进取～派。
急惊风撞着慢郎中,1.患急病遇到慢吞吞的医生。比喻缓不济急。
急惊列,1.形容惊慌。
急景,1.急驰的日光。亦指急促的时光。
急景凋年,"1.谓光阴急逝，年岁将尽。 
2.用以指岁暮。"
急景流年,1.形容光阴易逝。
急救包,装有急救药品及消过毒的纱布、绷带等的悬，供急救伤病员时使用。
急救车,1.紧急护送伤病者的汽车。
急就,"1.速成;匆促而成。 
2.见""急就篇""。"
急就篇,"1.古代字书名。为学童识字之书『史游作。今本三十四章，二千一百四十四字(末一百二十八字为汉以后人所加)，按姓名﹑衣服﹑饮食﹑器用等分类，成三言﹑四言﹑七言韵语。首句有""急就""二字，因以名篇。一说如遇难字，缓急可就而求，故名。"
急剧,急速；迅速而剧烈气温～下降。
急浚,"1.见""急浚""。"
急刻,1.峻急苛刻。
急客,1.突然到来的客人，不速之客。
急口,1.急忙开口。
急口令,〈方〉绕口令。
急困,1.急迫困厄。
急来抱佛脚,"1.谓平时不为善，到临难时才求救于佛。清王应奎《柳南随笔》卷一""谚云'急来抱佛脚'，盖言平时不为善，而临难求救于佛也。孟郊诗云'垂老抱佛脚，教妻读《黄经》。'可知此语自唐时已有之。""后用以比喻平时不准备，到事临头时才急着想办法。"
急濑,"1.湍急的水流。 
2.指急湍声。"
急澜,1.迅猛的波澜。
急泪,"1.临时洒落的眼泪。《宋书．刘德愿传》载宋孝武帝宠姬殷贵妃薨﹐帝数与群臣至殷墓﹐令医术人羊志哭殷氏﹐志亦呜咽。""他日有问志'卿那得此副急泪？'志时新丧爱姬﹐答曰'我尔日自哭亡妾耳。'"""
急吏缓民,1.对官员严格，对百姓宽和。
急敛暴征,1.严急而苛猛的赋税。
急烈,1.猛烈;剧烈。
急玲,1.犹机灵。
急溜,"1.见""急溜""。 
2.紧要。"
急流勇退,旧时比喻仕途顺利的时候毅然退出官场，现也比喻在复杂的斗争中及早抽身。
急留古鲁,"1.见""急留骨碌""。"
急留骨碌,1.象声词。滚动声。
急龙车,1.古代一种机弩的戏称。
急乱,1.慌乱。
急脉缓灸,1.原指中医遇急促的脉象时治以缓和的灸法。比喻以和缓的方法对付急事。亦借喻在撰写诗文时，有意放松笔调，以造成顿挫之势。
急脉缓受,"1.见""急脉缓灸""。"
急难,〈书〉热心地帮助别人摆脱患难扶危～ㄧ急人之难。
急农,1.重视农业。
急怒,1.骤然动气。
急拍繁弦,1.犹言急管繁弦。
急迫,马上需要应付或办理，不容许迟延情况～ㄧ～的任务。
急骑,1.快马。
急切,①迫切需要～ㄧ～地盼望成功。②仓促～间找不着适当的人。
急且,1.仓卒。
急穰穰,"1.见""急攘攘""。"
急攘攘,1.形容急忙慌乱。
急热,1.犹言打得火热。
急人,1.谓救人急难。
急三火四,1.形容十分匆促。
急三枪,"1.曲牌名。属南曲仙吕入双调。如昆剧《琵琶记．扫松》张广才所唱""他公婆的亲看见""一曲即是。京剧常用为剧中写信﹑看信﹑寒暄或复述已有明场交代的事件时的伴奏乐曲。 
2.对急性子的人的戏称。"
急三台,1.唐时一种节拍急促的曲调名。
急煞,1.急得不得了。
急缮,1.犹坚劲。
急觞,1.举觞快饮。
急声,"1.古汉浯有二音急读而成一音的，叫做""急声""。亦叫做合声﹑合音。如""不可""为""叵""，""何不""为""盍""，""之乎""为""诸""。现代方言中亦有急声，如北京话""不用""为""甭""，苏州话""勿要""为""覅""。"
急世,1.谓剧烈变革的时代。
急事,急需办理的事；紧急的事情。
急手,"1.急速。 
2.快手，动作敏捷。"
急水,1.指常水或酸性水。
急松松,1.犹急匆匆。
急飕飕,1.形容连续快速地飘过。
急簌簌,"1.见""急飕飕""。"
急滩,1.河道中水浅流急之处。
急痛,1.剧烈悲痛。
急痛攻心,1.心里感到极度的焦急与悲痛。
急头,1.紧急关头。
急头赖脸,1.形容急忙慌乱。
急湍,①很急的水流。②湍急～的溪流。
急危,1.危急。
急务,紧急的事务当前～。
急先,1.犹抢先。
急弦,1.节奏急速的弦乐。
急贤,1.重贤;急于求贤。
急响,"1.急促作响。 
2.指急促的响声。"
急行军,部队执行紧急任务时进行的快速行军。
急性病,①发病急剧、病情变化很快、症状较重的疾病，例如霍乱、急性阑尾炎等。②比喻不顾客观实际、急于求成的毛病。
急性支气管炎,由上呼吸道感染、物理或化学刺激等引起的支气管粘膜急性炎症。因气候突变或其他过敏因素而发作。起病急，先有上呼吸道感染症状。以咳嗽、咳痰为主要特征，偶有痰中带血、胸闷。一般三至五天即愈，亦可延续至二至三周。如不及时治疗，可发展为支气管肺炎，反覆发作也可转为慢性支气管炎。
急须,"1.煮茶﹑暖酒器名。 
2.一说古为便溺器名。"
急需,紧急需要～处理 ㄧ以应～。
急旋旋,1.水流湍急貌。
急言,"1.汉代注家譬况字音用语。与""缓言""﹑""徐言""对言。有i[i]介音的细音字，因发音时口腔的气道先窄而后宽，肌肉先紧而后松，其音急促，故名。 
2.激切的言辞。"
急痒,1.方言。形容十分焦急。
急要,1.犹紧要。
急义,1.重义气。
急用,紧急需用（多指金钱方面）节约储蓄，以备～。
急于求成,1.急欲达到目的。
急早,1.犹及早，赶紧。
急燥,"1.见""急躁""。"
急躁,①碰到不称心的事情马上激动不安性情～ㄧ一听说事情弄糟了，他就～起来了。②想马上达到目的，不做好准备就开始行动～冒进ㄧ别～，大家商量好再动手。
急则抱佛脚,"1.见""急来抱佛脚""。"
急窄,"1.犹紧缩。 
2.拮据，不宽裕。"
急飐飐,1.急速飘动貌。
急战,1.速战。
急张拘诸,1.紧张慌乱貌;局促不安貌。
急张拒遂,"1.见""急张拘诸""。"
急章拘诸,"1.见""急张拘诸""。"
急獐拘猪,"1.见""急张拘诸""。"
急棹,1.谓船急行。
急振,"1.见""急赈""。"
急赈,"1.亦作""急振""。 
2.紧急救济。"
急征,"1.紧急征召。 
2.急诏赴狱。"
急政,1.催征赋税。
急症,突然发作来势很猛的病症。
急中生智,在紧急中想出好的应付办法。
急周各支,1.象声词。
急竹繁丝,"1.见""急管繁弦""。"
急转直下,（形势、剧情、文笔等）突然转变，并且很快地顺势发展下去。
急装,"1.急速整装。 
2.扎缚紧凑的装束。"
急灼,1.犹焦急。
急足,"1.指急行送信的人。 
2.拘捕案犯的捕快。"
急卒,1.仓促。
笈囊,1.笈与囊。古代诗文书籍或卷入锦囊﹐或藏于笈箧。故笈囊亦连用作为书袋的泛称。
疾暴,1.犹残暴。
疾惫,1.因病而极度疲惫;病重。
疾便,1.犹速即。
疾博,1.急速攫取﹑掠夺。
疾步,快步～行走。
疾瘳,1.病愈。
疾瘯,1.患皮肤病。指患小病。
疾颠,"1.急速颠覆﹑失败。 
2.疯癫。"
疾动,1.疾病发作。
疾斗,1.苦斗﹐极力战斗。
疾毒,1.憎恨毒害。
疾笃,1.病势沉重。
疾妒,1.妒忌。
疾顿,1.病痛困顿。
疾厄,1.病患苦难。
疾恶,1.憎恨坏人坏事。
疾恶如仇,恨坏人坏事像痛恨仇敌一样。也作嫉恶如仇。
疾恶如雠,"1.同""疾恶如仇""。"
疾恶如风,1.痛恨坏人坏事像狂风猛扫一样。
疾恶若雠,"1.同""疾恶如仇""。"
疾非,1.憎恶不合理的事物。
疾费,1.犹耗费。
疾愤,1.痛恨愤慨。
疾风,①气象学上指7级风。参看〖风级〗。②猛烈的风～劲草ㄧ～迅雨。
疾风暴雨,"1.急遽而猛烈的风雨。 
2.形容声势浩大的运动。 
3.形容(战斗)非常激烈。"
疾风扫秋叶,1.比喻力量强大﹐进展迅速﹐所向无阻。
疾风知劲草,1.在猛烈的大风中﹐可看出什么样的草是强劲的。比喻节操坚定﹐经得起考验。
疾夫,1.妒忌者。
疾革,1.病情危急。
疾耕,1.努力耕作。
疾固,1.谓憎恶世俗固塞鄙陋。
疾痼,1.疾病经久难治。
疾官,1.有疾者所居之馆舍。官﹐房舍。
疾害,"1.嫉妒陷害。 
2.疾苦灾害。"
疾号,1.高声呼号。
疾耗,1.患病的坏消息。
疾很,1.犹强狠。
疾呼,"1.急速地吐气。 
2.高呼;急切地呼喊。 
3.指高呼的声音。"
疾患,〈书〉病。
疾秽,1.体内因病产生的脏物。
疾毁,1.嫉妒毁谤。
疾击,1.猛烈冲击﹑攻击。
疾亟,"1.疾革。 
2.急迫地。"
皓腕,1.洁白的手腕。多用于女子。
皓翁,1.雷神的别名。
皓霰,1.洁白晶莹的雪珠。
皓皛,1.明亮洁白。
皓袖,1.白色衣袖。
皓雪,1.白雪。
皓溔,1.水流广大貌。
皓曜,"1.亦作""皓耀""。亦作""皜曜""。 
2.明亮的阳光。 
3.洁白光亮。"
皓耀,"1.见""皓曜""。"
皓夜,1.月明之夜。
皓衣,1.鲜明洁白的衣服。
皓羽,1.白色的羽毛。
皓玉,1.白玉。比喻洁白润泽的肌肤。
皓月,明亮的月亮～当空。
皓质,"1.洁白的质地。 
2.白晳的肌肤。 
3.洁白的本质。"
皓足,1.洁白的脚。多用于女子。
滈池君,1.水神名。
滈汗,1.水长流貌。
滈滈,1.水泛白光貌。
澔旰,"1.亦作""?旰""。 
2.见""澔汗""。"
澔汗,"1.亦作""?旰""。亦作""澔涆""。 
2.盛貌。 
3.辽阔广大貌。"
澔涆,"1.见""澔汗""。"
澔澔涆涆,"1.亦作""??3d46涆涆""。 
2.盛貌。"
皡皡,"1.亦作""皞皞""。 
2.广大自得貌;心情舒畅貌。"
皡天,"1.亦作""皞天""。 
2.苍天﹐皇天。"
皡天上帝,1.犹天帝。
皡天罔极,1.谓父母尊长养育的恩德深广。
